Date,SBUX,WMT,WST,TSLA,GME
2022-09-16,90.7882,132.69,267.835,303.35,28.64
2022-09-15,91.693,132.969,273.5,303.75,28.61
2022-09-14,92.1703,134.413,290.575,302.61,28.13
2022-09-13,87.3381,134.712,292.714,292.13,27.85
2022-09-12,88.561,137.551,312.607,304.42,29.24
2022-09-09,88.1832,136.326,313.246,299.68,28.92
2022-09-08,88.9488,135.918,307.871,289.26,25.83
2022-09-07,87.8054,135.23,298.549,283.7,24.04
2022-09-06,84.037,131.843,290.755,274.42,25.14
2022-09-02,82.4661,132.501,291.105,270.21,27.36
2022-09-01,84.912,133.975,295.851,277.16,27.63
2022-08-31,83.5896,132.052,296.441,275.61,28.64
2022-08-30,82.9334,131.982,296.171,277.7,29.84
2022-08-29,83.6393,132.381,301.316,284.82,31.55
2022-08-26,83.5797,131.106,303.515,288.09,30.94
2022-08-25,86.8906,135.36,314.415,296.07,31.96
2022-08-24,85.5583,134.463,310.319,297.097,32.5
2022-08-23,84.2061,133.497,309.45,296.453,33.53
2022-08-22,84.4646,134.065,311.208,289.913,34.5
2022-08-19,86.4233,136.505,319.251,296.667,36.49
2022-08-18,88.044,138.548,321.519,302.87,37.93
2022-08-17,87.8451,138.996,327.974,303.997,40.52
2022-08-16,88.8891,138.847,333.649,306.563,42.19
2022-08-15,88.6505,132.102,340.533,309.32,39.68
2022-08-12,87.8054,131.723,340.693,300.03,40.74
2022-08-11,86.7713,129.332,337.466,286.63,39.45
2022-08-10,85.5086,128.097,338.555,294.357,40.53
2022-08-09,83.8772,127.829,329.213,283.333,40.37
2022-08-08,84.7473,126.58,339.075,290.423,43.45
2022-08-05,84.7572,125.558,341.413,288.17,40.02
2022-08-04,85.8942,124.555,340.194,308.633,38.36
2022-08-03,86.2797,129.446,343.361,307.397,37.93
2022-08-02,82.7601,131.609,338.815,300.587,35.84
2022-08-01,83.9465,131.469,338.755,297.277,34.78
2022-07-29,83.818,130.983,343.271,297.15,34.01
2022-07-28,83.7092,128.702,339.634,280.9,33.84
2022-07-27,82.0186,125.568,320.25,274.82,33.78
2022-07-26,79.3987,120.995,313.096,258.86,32.43
2022-07-25,80.5752,130.954,313.246,268.433,33.98
2022-07-22,82.6414,131.143,313.376,272.243,35.78
2022-07-21,82.592,131.479,316.334,271.707,38.3675
2022-07-20,82.3251,129.584,303.155,247.5,39.6875
2022-07-19,81.6133,128.514,299.938,245.53,37.925
2022-07-18,79.3196,127.73,291.555,240.547,36.66
2022-07-15,78.7165,128.027,300.003,240.067,35.41
2022-07-14,77.3127,126.788,293.942,238.313,34.05
2022-07-13,77.0359,124.357,299.563,237.04,35.32
2022-07-12,76.8777,124.06,296.338,233.07,34.28
2022-07-11,77.0161,124.437,315.479,234.343,32.5225
2022-07-08,78.3803,124.387,318.016,250.763,32.135
2022-07-07,78.3409,124.308,319.794,244.543,33.78
2022-07-06,77.9651,124.119,315.09,231.733,29.3575
2022-07-05,78.6177,123.246,305.614,233.067,30.0575
2022-07-01,78.3607,121.639,307.291,227.263,30.855
2022-06-30,75.5232,120.598,301.93,224.473,30.575
2022-06-29,75.5627,120.935,299.083,228.49,30.715
2022-06-28,75.4737,121.381,296.028,232.663,31.095
2022-06-27,76.7985,123.118,304.376,244.92,32.4225
2022-06-24,77.2237,122.721,300.741,245.707,33.8025
2022-06-23,74.3467,122.622,298.465,235.07,35.505
2022-06-22,72.4682,119.716,288.409,236.087,34.615
2022-06-21,72.1321,121.183,288.11,237.037,35.07
2022-06-17,71.0544,117.335,282.408,216.76,33.785
2022-06-16,70.1449,119.646,282.278,213.1,31.4325
2022-06-15,73.3482,118.416,289.467,233.0,32.3225
2022-06-14,71.4894,118.495,280.201,220.89,31.5425
2022-06-13,71.539,118.445,283.456,215.737,29.5625
2022-06-10,74.8113,120.717,293.082,232.23,32.2725
2022-06-09,78.0145,120.042,304.096,239.707,32.245
2022-06-08,77.5795,121.313,311.556,241.867,34.6825
2022-06-07,78.5683,122.374,315.899,238.887,36.625
2022-06-06,78.0837,123.862,308.579,238.28,32.025
2022-06-03,78.153,124.308,309.429,234.517,33.425
2022-06-02,78.5188,126.48,317.527,258.333,33.5
2022-06-01,75.4144,124.437,308.131,246.79,30.35
2022-05-31,77.6093,127.591,309.928,252.753,31.185
2022-05-27,75.8395,127.443,320.742,253.21,34.3025
2022-05-26,73.6448,124.983,305.015,235.91,32.115
2022-05-25,71.6576,122.374,298.355,219.6,28.7925
2022-05-24,71.8948,123.128,300.282,209.387,22.2875
2022-05-23,72.5868,121.61,302.898,224.967,24.0325
2022-05-20,72.5572,118.237,300.242,221.3,23.915
2022-05-19,71.1138,118.109,301.77,236.473,24.7975
2022-05-18,70.4712,121.441,293.582,236.603,22.87
2022-05-17,72.8834,130.289,304.476,253.87,25.095
2022-05-16,71.5982,147.013,302.928,241.457,22.95
2022-05-13,74.7421,146.854,304.526,256.53,24.5975
2022-05-12,69.1068,146.289,295.559,242.667,22.3925
2022-05-11,68.7806,146.428,290.377,244.667,20.3325
2022-05-10,70.5477,147.975,295.828,266.68,23.375
2022-05-09,72.148,150.088,296.388,262.37,24.6975
2022-05-06,75.1226,148.352,305.894,288.55,28.675
2022-05-05,76.065,151.507,314.301,291.093,29.7825
2022-05-04,80.1491,152.816,317.976,317.54,31.77
2022-05-03,72.9725,150.733,306.003,303.083,30.1075
2022-05-02,73.9936,150.207,311.796,300.98,29.8925
2022-04-29,73.277,151.209,314.601,290.253,31.2675
2022-04-28,75.1815,154.383,324.886,292.503,32.3275
2022-04-27,73.3751,152.439,331.876,293.837,32.46
2022-04-26,74.2488,153.49,331.906,292.14,31.9
2022-04-25,76.5559,155.107,348.442,332.673,33.9875
2022-04-22,76.497,155.028,349.26,335.017,34.555
2022-04-21,77.5181,158.003,364.608,336.26,35.39
2022-04-20,78.706,157.765,371.209,325.733,37.2125
2022-04-19,79.7367,155.812,370.459,342.717,38.1175
2022-04-18,78.1464,154.065,371.698,334.763,35.365
2022-04-14,78.0482,155.246,380.485,328.333,37.6925
2022-04-13,79.4422,155.385,386.267,340.79,37.675
2022-04-12,78.3328,151.447,383.8,328.983,36.2175
2022-04-11,79.2066,152.488,397.729,325.31,36.7325
2022-04-08,80.0313,155.574,412.778,341.83,36.5475
2022-04-07,81.6021,154.711,419.638,352.42,37.5
2022-04-06,81.8377,153.183,408.654,348.587,39.16
2022-04-05,82.5839,149.702,407.845,363.753,38.3975
2022-04-04,86.4813,149.274,408.234,381.817,42.6825
2022-04-01,89.8192,149.245,416.223,361.53,41.25
2022-03-31,89.3087,147.182,409.912,359.2,41.645
2022-03-30,89.3676,148.124,417.201,364.663,41.7125
2022-03-29,89.564,145.515,413.317,366.523,44.975
2022-03-28,86.766,144.295,405.857,363.947,47.3975
2022-03-25,85.853,141.776,404.45,336.88,37.9875
2022-03-24,85.5291,141.161,407.655,337.973,35.5975
2022-03-23,84.6454,140.298,402.363,333.037,35.25
2022-03-22,86.285,142.123,412.668,331.327,30.785
2022-03-21,85.2737,142.55,411.849,307.053,23.55
2022-03-18,87.9637,143.74,413.886,301.797,22.6975
2022-03-17,86.0591,143.313,404.45,290.533,21.925
2022-03-16,85.8138,143.105,395.993,280.077,21.715
2022-03-15,81.6021,143.522,384.679,267.297,20.66
2022-03-14,77.8419,141.825,369.301,255.457,19.5275
2022-03-11,81.2192,139.872,362.501,265.117,23.1725
2022-03-10,85.5683,140.427,370.749,279.433,25.14
